Top1
Bi-LSTM-A+NextBug vs Bi-LSTM+NextBug: -0.1975, small
Bi-LSTM-A+NextBug vs TextCNN+ELMo: 0.4938, large
Bi-LSTM-A+NextBug vs LSTM-A+ELMo: 0.4691, medium
Bi-LSTM-A+NextBug vs LSTM+ELMo: 0.4691, medium
Bi-LSTM-A+NextBug vs LSTM+NextBug: 0.3827, medium
Bi-LSTM-A+NextBug vs MLP+ELMo: 0.4691, medium
Bi-LSTM+NextBug vs Bi-LSTM-A+ELMo: 0.0123, negligible
Bi-LSTM+NextBug vs Bi-LSTM+ELMo: 0.0617, negligible
Bi-LSTM+NextBug vs TextCNN+NextBug: 0.5185, large
Bi-LSTM+NextBug vs MLP+NextBug: 0.5679, large
Bi-LSTM+NextBug vs LSTM-A+NextBug: 0.5926, large
Bi-LSTM+NextBug vs TextCNN+ELMo: 0.4321, medium
Bi-LSTM+NextBug vs LSTM-A+ELMo: 0.3457, medium
Bi-LSTM+NextBug vs LSTM+ELMo: 0.3457, medium
Bi-LSTM+NextBug vs LSTM+NextBug: 0.2469, small
Bi-LSTM+NextBug vs MLP+ELMo: 0.3457, medium
Bi-LSTM-A+ELMo vs Bi-LSTM+ELMo: 0.0741, negligible
Bi-LSTM-A+ELMo vs TextCNN+NextBug: 0.4198, medium
Bi-LSTM-A+ELMo vs MLP+NextBug: 0.4691, medium
Bi-LSTM-A+ELMo vs LSTM-A+NextBug: 0.4938, large
Bi-LSTM-A+ELMo vs TextCNN+ELMo: 0.3580, medium
Bi-LSTM-A+ELMo vs LSTM-A+ELMo: 0.3086, small
Bi-LSTM-A+ELMo vs LSTM+ELMo: 0.3086, small
Bi-LSTM-A+ELMo vs LSTM+NextBug: 0.2099, small
Bi-LSTM-A+ELMo vs MLP+ELMo: 0.2963, small
Bi-LSTM+ELMo vs TextCNN+NextBug: 0.3457, medium
Bi-LSTM+ELMo vs MLP+NextBug: 0.4321, medium
Bi-LSTM+ELMo vs LSTM-A+NextBug: 0.4198, medium
Bi-LSTM+ELMo vs TextCNN+ELMo: 0.3086, small
Bi-LSTM+ELMo vs LSTM-A+ELMo: 0.2222, small
Bi-LSTM+ELMo vs LSTM+ELMo: 0.2346, small
Bi-LSTM+ELMo vs LSTM+NextBug: 0.1852, small
Bi-LSTM+ELMo vs MLP+ELMo: 0.1975, small
TextCNN+NextBug vs MLP+NextBug: 0.2469, small
TextCNN+NextBug vs LSTM-A+NextBug: 0.0864, negligible
TextCNN+NextBug vs TextCNN+ELMo: -0.1111, negligible
TextCNN+NextBug vs LSTM-A+ELMo: -0.0741, negligible
TextCNN+NextBug vs LSTM+ELMo: -0.1728, small
TextCNN+NextBug vs LSTM+NextBug: -0.2469, small
TextCNN+NextBug vs MLP+ELMo: -0.0741, negligible
MLP+NextBug vs LSTM-A+NextBug: -0.1975, small
MLP+NextBug vs TextCNN+ELMo: -0.2963, small
MLP+NextBug vs LSTM-A+ELMo: -0.2346, small
MLP+NextBug vs LSTM+ELMo: -0.3333, medium
MLP+NextBug vs LSTM+NextBug: -0.3827, medium
MLP+NextBug vs MLP+ELMo: -0.3086, small
LSTM-A+NextBug vs TextCNN+ELMo: -0.1852, small
LSTM-A+NextBug vs LSTM-A+ELMo: -0.1605, small
LSTM-A+NextBug vs LSTM+ELMo: -0.2593, small
LSTM-A+NextBug vs LSTM+NextBug: -0.2963, small
LSTM-A+NextBug vs MLP+ELMo: -0.1728, small
TextCNN+ELMo vs LSTM-A+ELMo: -0.0123, negligible
TextCNN+ELMo vs LSTM+ELMo: -0.0864, negligible
TextCNN+ELMo vs LSTM+NextBug: -0.1728, small
TextCNN+ELMo vs MLP+ELMo: -0.0247, negligible
LSTM-A+ELMo vs LSTM+ELMo: -0.0370, negligible
LSTM-A+ELMo vs LSTM+NextBug: -0.0988, negligible
LSTM-A+ELMo vs MLP+ELMo: -0.0247, negligible
LSTM+ELMo vs LSTM+NextBug: -0.0617, negligible
LSTM+ELMo vs MLP+ELMo: 0.0247, negligible
LSTM+NextBug vs MLP+ELMo: 0.0494, negligible
